#name	name2
NR_105273	Mir93
NR_105097	Mir106b
NR_105105	Mir1260
NM_001246831	Slc19a1
NM_001246806	S100b
NM_001246767	Ext1
NM_001246788	Slc25a32
NM_001291486	Azin1
NR_105164	Mir1973
NM_001244287	Rarres2
NR_105262	Mir671
NM_001244079	Insig1
NR_162738	Mir148a
NM_001246702	Cbx3
NR_105162	Mir196b
NR_105107	Mir1285
NM_001246686	Gbf1
NR_105125	Mir146b
NR_105147	Mir186
NM_001256866	Selenof
NM_001246825	Cdkn1b
NM_001244298	Znf330
NM_001328107	LOC100754040
NM_001244050	Ldha
NM_001246689	Sat1
NM_001244089	Mbtps2
NM_001252299	Pdha1
NR_105276	Mir6091
NM_001244850	Adk
NM_001323024	Ap3m1
NM_001244405	Ap3m1
NM_001244411	Apex1
NM_001244518	Ear7
NM_001244516	Ear11
NM_001244517	Ear15
NM_001244515	Ear10
NM_001244269	Dicer1
NR_105216	Mir342
NR_105218	Mir345
NR_162752	Mir127
NR_105114	Mir134
NR_105228	Mir377
NR_105131	Mir154
NR_105245	Mir496
NR_105234	Mir409
NR_105197	Mir300
NR_105226	Mir369
NR_105231	Mir381
NR_105230	Mir379
NR_105236	Mir412
NR_105232	Mir382
NR_105199	Mir3072
NR_105235	Mir410
NM_001256784	Dio3
NM_001244292	Noc3l
NM_001291947	Adssl1
NM_001246821	Hsp90aa1
NM_001244020	Bax
NM_001246810	Lhb
NR_162753	Mir150
NM_001246726	Gpi
NM_001244001	Pex5
NR_105169	Mir200c
NR_105120	Mir141
NM_001244854	Gapdh
NR_105185	Mir2424
NM_001244023	Cyp2a15
NR_105098	Mir107
NM_001246706	Ankrd1
NM_001243994	LOC100689009
NM_001243993	LOC100689008
NM_001244097	Tubb
NM_001244101	Tubb
NM_001243997	LOC100689011
NM_001246800	Neu1
NM_001243995	LOC100689010
NM_001246795	Bak1
NM_001244028	Hmga1
NR_105217	Mir344
NM_001246697	Dld
NM_001246745	Gosr1
NR_105237	Mir423
NR_105175	Mir212
NR_105113	Mir132
NM_001246679	Xrcc1
NM_001246804	Ercc1
NM_001244021	Cyp2a14
NM_001244022	Cyp2a17
NM_001256880	Selenow
NM_001246780	Prdx2
NM_001244122	Calr
NR_105139	Mir181c
NR_105140	Mir181d
NR_105184	Mir24
NR_105189	Mir27a
NR_105182	Mir23a
NR_162762	Mir3074-2
NR_105093	Mir1
NR_105258	Mir632
NM_001246739	Hspa5
NR_105179	Mir22
NR_105123	Mir144
NR_162745	Mir451a
NR_105252	Mir532
NR_105149	Mir188
NR_105224	Mir362
NR_105201	Mir30b
NR_130420	Mir30d
NR_045136	Snord14e
NR_045132	Rn18s
NR_046263	Rn45s
